label,mode,cyc,I,enable,op_slot_1_A,AN_slot_1_A,B_slot_1_A,Y_slot_1_A
t05_slot_1_A_k4,81,15,0,1,0,1,0,0
t05_slot_1_A_k4,81,16,0,1,0,1,0,0
t05_slot_1_A_k4,81,17,1,1,1,1,0,0
t05_slot_1_A_k4,81,18,1,1,1,0,1,1
t05_slot_1_A_k4,81,19,0,1,0,1,1,0
t05_slot_1_A_k4,81,20,0,1,0,1,1,0
t05_slot_1_A_k4,81,21,0,1,0,1,1,0
t05_slot_1_A_k4,81,22,0,1,0,1,1,0
t05_slot_1_A_k4,81,23,0,1,0,1,1,0
t05_slot_1_A_k4,81,24,0,1,0,1,1,0
t05_slot_1_A_k4,81,25,0,1,0,1,1,0
t05_slot_1_A_k4,81,26,0,1,0,1,1,0
t05_slot_1_A_k4,81,27,0,1,0,1,1,0
t05_slot_1_A_k4,81,28,0,1,0,1,1,0
t05_slot_1_A_k4,81,29,1,1,1,1,1,0
t05_slot_1_A_k4,81,30,0,1,1,1,1,0
t05_slot_1_A_k4,81,31,0,1,0,1,1,0
t05_slot_1_A_k4,81,32,0,1,0,1,1,0
t05_slot_1_A_k4,81,33,0,1,0,1,1,0
t05_slot_1_A_k4,81,34,0,1,0,1,1,0
t05_slot_1_A_k4,81,35,0,1,0,1,1,0
t05_slot_1_A_k4,81,36,0,1,0,1,1,0
t05_slot_1_A_k4,81,37,0,1,0,1,1,0
t05_slot_1_A_k4,81,38,0,1,0,1,1,0
t05_slot_1_A_k4,81,39,0,1,0,1,1,0
t05_slot_1_A_k4,81,40,0,1,0,1,1,0
t05_slot_1_A_k4,81,41,0,1,1,1,1,0
t05_slot_1_A_k4,81,42,0,1,1,1,1,0
t05_slot_1_A_k4,81,43,0,1,0,1,1,0
t05_slot_1_A_k4,81,44,0,1,0,1,1,0
t05_slot_1_A_k4,81,45,0,1,0,1,1,0
t05_slot_1_A_k4,81,46,0,1,0,1,1,0
t05_slot_1_A_k4,81,47,0,1,0,1,1,0
t05_slot_1_A_k4,81,48,0,1,0,1,1,0
t05_slot_1_A_k4,81,49,0,1,0,1,1,0
t05_slot_1_A_k4,81,50,0,1,0,1,1,0
t05_slot_1_A_k4,81,51,0,1,0,1,1,0
t05_slot_1_A_k4,81,52,0,1,0,1,1,0
t05_slot_1_A_k4,81,53,0,1,0,1,1,0
t05_slot_1_A_k4,81,54,0,1,0,1,1,0
