mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@3,114,0,1,0,1,1,1
I1_@3,115,0,1,0,1,1,1
I1_@3,116,0,1,0,1,1,1
I1_@3,117,0,1,0,1,1,1
I1_@3,118,0,1,0,1,1,1
I1_@3,119,0,1,0,1,1,1
I1_@3,120,0,1,0,1,1,1
I1_@4,0,0,1,0,1,0,0
I1_@4,1,0,1,0,1,0,0
I1_@4,2,0,1,0,1,0,0
I1_@4,3,0,1,0,1,0,0
I1_@4,4,0,1,1,1,0,0
I1_@4,5,0,1,1,1,0,0
I1_@4,6,0,1,1,1,0,0
I1_@4,7,0,1,1,1,0,0
I1_@4,8,0,1,1,1,0,0
I1_@4,9,0,1,1,1,0,0
I1_@4,10,0,1,1,1,1,0
I1_@4,11,0,1,0,1,1,1
I1_@4,12,0,1,0,1,1,1
I1_@4,13,0,1,0,1,1,1
I1_@4,14,0,1,0,1,1,1
I1_@4,15,0,1,0,1,1,1
I1_@4,16,0,1,0,1,1,1
I1_@4,17,0,1,0,1,1,1
I1_@4,18,0,1,0,1,1,1
I1_@4,19,0,1,0,1,1,1
I1_@4,20,0,1,0,1,1,1
I1_@4,21,0,1,0,1,1,1
I1_@4,22,0,1,0,1,1,1
I1_@4,23,0,1,0,1,1,1
I1_@4,24,0,1,0,1,1,1
I1_@4,25,0,1,0,1,1,1
I1_@4,26,0,1,0,1,1,1
I1_@4,27,0,1,0,1,1,1
I1_@4,28,0,1,0,1,1,1
I1_@4,29,0,1,0,1,1,1
I1_@4,30,0,1,0,1,1,1
I1_@4,31,0,1,0,1,1,1
I1_@4,32,0,1,0,1,1,1
I1_@4,33,0,1,0,1,1,1
I1_@4,34,0,1,0,1,1,1
I1_@4,35,0,1,0,1,1,1
I1_@4,36,0,1,0,1,1,1
I1_@4,37,0,1,0,1,1,1
I1_@4,38,0,1,0,1,1,1
I1_@4,39,0,1,0,1,1,1
I1_@4,40,0,1,0,1,1,1
I1_@4,41,0,1,0,1,1,1
I1_@4,42,0,1,0,1,1,1
I1_@4,43,0,1,0,1,1,1
I1_@4,44,0,1,0,1,1,1
I1_@4,45,0,1,0,1,1,1
I1_@4,46,0,1,0,1,1,1
I1_@4,47,0,1,0,1,1,1
I1_@4,48,0,1,0,1,1,1
I1_@4,49,0,1,0,1,1,1
I1_@4,50,0,1,0,1,1,1
I1_@4,51,0,1,0,1,1,1
I1_@4,52,0,1,0,1,1,1
