instance,cell_type,x_um,y_um
VIA_L1M1_PR_MR_258,VIA_L1M1_PR_MR,173.65,28.05
VIA_L1M1_PR_MR_259,VIA_L1M1_PR_MR,179.63,28.05
VIA_L1M1_PR_MR_260,VIA_L1M1_PR_MR,150.19,28.39
VIA_L1M1_PR_MR_261,VIA_L1M1_PR_MR,151.11,28.39
VIA_L1M1_PR_MR_262,VIA_L1M1_PR_MR,152.95000000000002,28.39
VIA_L1M1_PR_MR_263,VIA_L1M1_PR_MR,154.33,28.39
VIA_L1M1_PR_MR_264,VIA_L1M1_PR_MR,154.79,28.39
VIA_L1M1_PR_MR_265,VIA_L1M1_PR_MR,156.17000000000002,28.39
VIA_L1M1_PR_MR_266,VIA_L1M1_PR_MR,157.55,28.39
VIA_L1M1_PR_MR_267,VIA_L1M1_PR_MR,158.01,28.39
VIA_L1M1_PR_MR_268,VIA_L1M1_PR_MR,159.39000000000001,28.39
VIA_L1M1_PR_MR_269,VIA_L1M1_PR_MR,160.31,28.39
VIA_L1M1_PR_MR_270,VIA_L1M1_PR_MR,162.095,28.39
VIA_L1M1_PR_MR_271,VIA_L1M1_PR_MR,162.61,28.39
VIA_L1M1_PR_MR_272,VIA_L1M1_PR_MR,163.53,28.39
VIA_L1M1_PR_MR_273,VIA_L1M1_PR_MR,163.99,28.39
VIA_L1M1_PR_MR_274,VIA_L1M1_PR_MR,164.62,28.39
VIA_L1M1_PR_MR_275,VIA_L1M1_PR_MR,172.73,28.39
VIA_L1M1_PR_MR_276,VIA_L1M1_PR_MR,175.49,28.39
VIA_L1M1_PR_MR_277,VIA_L1M1_PR_MR,182.85,28.39
VIA_L1M1_PR_MR_278,VIA_L1M1_PR_MR,184.69,28.39
VIA_L1M1_PR_MR_279,VIA_L1M1_PR_MR,185.61,28.39
VIA_L1M1_PR_MR_280,VIA_L1M1_PR_MR,186.07,28.39
VIA_L1M1_PR_MR_281,VIA_L1M1_PR_MR,186.99,28.39
VIA_L1M1_PR_MR_282,VIA_L1M1_PR_MR,170.43,28.73
VIA_L1M1_PR_MR_283,VIA_L1M1_PR_MR,176.41,28.73
VIA_L1M1_PR_MR_284,VIA_L1M1_PR_MR,179.17000000000002,28.73
VIA_L1M1_PR_MR_285,VIA_L1M1_PR_MR,151.11,29.07
VIA_L1M1_PR_MR_286,VIA_L1M1_PR_MR,153.87,29.41
VIA_L1M1_PR_MR_287,VIA_L1M1_PR_MR,155.25,29.41
VIA_L1M1_PR_MR_288,VIA_L1M1_PR_MR,157.55,29.41
VIA_L1M1_PR_MR_289,VIA_L1M1_PR_MR,186.53,29.41
VIA_L1M1_PR_MR_290,VIA_L1M1_PR_MR,158.47,30.43
VIA_L1M1_PR_MR_291,VIA_L1M1_PR_MR,152.95000000000002,31.11
VIA_L1M1_PR_MR_292,VIA_L1M1_PR_MR,165.37,31.11
VIA_L1M1_PR_MR_293,VIA_L1M1_PR_MR,169.51,31.11
VIA_L1M1_PR_MR_294,VIA_L1M1_PR_MR,176.41,31.11
VIA_L1M1_PR_MR_295,VIA_L1M1_PR_MR,151.11,31.45
